Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2018-07-03,171.07,171.23,168.24,168.66,168.66,-1.19%,508411,,,-4891.14,29.0,-4891.14,29.0,-4891.14,29.0
2018-07-05,169.71,176.44,169.6,176.44,176.44,4.61%,1299919,,,-4893.469114285715,29.0,-4893.469114285715,29.0,-4893.469114285715,29.0
2018-07-06,174.52,177.295,174.03,175.7,175.7,-0.42%,1093038,,,-4895.799337673469,29.0,-4895.799337673469,29.0,-4895.799337673469,29.0
2018-07-09,178.35,178.71,172.81,177.44,177.44,0.99%,1388926,,,-4898.130670691409,29.0,-4898.130670691409,29.0,-4898.130670691409,29.0
2018-07-10,177.09,181.5,176.01,180.43,180.43,1.69%,1542098,,,-4900.463113867929,29.0,-4900.463113867929,29.0,-4900.463113867929,29.0
2018-07-11,179.3,183.24,178.5,182.35,182.35,1.06%,1998982,,,-4902.796667731675,29.0,-4902.796667731675,29.0,-4902.796667731675,29.0
2018-07-12,183.65,189.97,183.24,188.35,188.35,3.29%,3506046,,,-4905.1313328115475,29.0,-4905.1313328115475,29.0,-4905.1313328115475,29.0
2018-07-13,188.6,188.86,183.95,187.21,187.21,-0.61%,1313254,,,-4907.467109636696,29.0,-4907.467109636696,29.0,-4907.467109636696,29.0
2018-07-16,186.78,187.62,184.03,184.22,184.22,-1.60%,1141647,,,-4909.803998736523,29.0,-4909.803998736523,29.0,-4909.803998736523,29.0
2018-07-17,180.72,187.48,178.61,187.05,187.05,1.54%,1813297,,,-4912.142000640683,29.0,-4912.142000640683,29.0,-4912.142000640683,29.0
2018-07-18,187.8,188.389,184.95,186.15,186.15,-0.48%,920498,,,-4914.4811158790835,29.0,-4914.4811158790835,29.0,-4914.4811158790835,29.0
2018-07-19,185.18,186.81,182.05,182.19,182.19,-2.13%,877252,,,-4916.821344981883,29.0,-4916.821344981883,29.0,-4916.821344981883,29.0
2018-07-20,183.83,185.65,182.27,182.79,182.79,0.33%,843733,,,-4919.162688479493,29.0,-4919.162688479493,29.0,-4919.162688479493,29.0
2018-07-23,184.97,190.0,183.5,188.05,188.05,2.88%,1754107,,,-4921.505146902578,29.0,-4921.505146902578,29.0,-4921.505146902578,29.0
2018-07-24,188.01,190.8,186.07,187.81,187.81,-0.13%,2174399,,,-4923.848720782056,29.0,-4923.848720782056,29.0,-4923.848720782056,29.0
2018-07-25,185.55,188.09,184.5,187.99,187.99,0.10%,2019703,,,-4926.193410649095,29.0,-4926.193410649095,29.0,-4926.193410649095,29.0
2018-07-26,191.86,198.99,187.05,196.28,196.28,4.41%,5029013,,,-4928.539217035119,29.0,-4928.539217035119,29.0,-4928.539217035119,29.0
2018-07-27,195.73,196.56,182.49,186.27,186.27,-5.10%,4125005,,,-4930.886140471802,29.0,-4930.886140471802,29.0,-4930.886140471802,29.0
2018-07-30,187.7,189.34,175.31,176.79,176.79,-5.09%,2978485,,,-4933.234181491074,29.0,-4933.234181491074,29.0,-4933.234181491074,29.0
2018-07-31,177.27,183.87,175.4,182.83,182.83,3.42%,2233466,,,-4935.583340625118,29.0,-4935.583340625118,29.0,-4935.583340625118,29.0
2018-08-01,183.53,185.49,179.82,180.12,180.12,-1.48%,1140512,,,-4937.933618406368,29.0,-4937.933618406368,29.0,-4937.933618406368,29.0
