Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2018-07-03,22.117,22.166,20.646,20.724,20.724,-7.23%,184239570,,,-4994.484,241.0,-4994.484,241.0,-4994.484,241.0
2018-07-05,20.917,20.959,19.748,20.611,20.611,-0.55%,262145610,,,-4996.862325714286,241.0,-4996.862325714286,241.0,-4996.862325714286,241.0
2018-07-06,20.33,20.805,20.133,20.593,20.593,-0.09%,132981765,,,-4999.241783964627,241.0,-4999.241783964627,241.0,-4999.241783964627,241.0
2018-07-09,20.799,21.235,20.533,21.234,21.234,3.11%,113951295,,,-5001.622375290324,241.0,-5001.622375290324,241.0,-5001.622375290324,241.0
2018-07-10,21.637,21.845,21.28,21.498,21.498,1.24%,142072470,,,-5004.004100230939,241.0,-5004.004100230939,241.0,-5004.004100230939,241.0
2018-07-11,21.053,21.463,21.005,21.264,21.264,-1.09%,73261140,,,-5006.386959326287,241.0,-5006.386959326287,241.0,-5006.386959326287,241.0
2018-07-12,21.429,21.549,20.851,21.114,21.114,-0.71%,85817490,,,-5008.770953116443,241.0,-5008.770953116443,241.0,-5008.770953116443,241.0
2018-07-13,21.039,21.305,20.617,21.258,21.258,0.68%,88136550,,,-5011.156082141736,241.0,-5011.156082141736,241.0,-5011.156082141736,241.0
2018-07-16,20.781,21.011,20.417,20.673,20.673,-2.75%,117279825,,,-5013.542346942756,241.0,-5013.542346942756,241.0,-5013.542346942756,241.0
2018-07-17,20.587,21.649,20.567,21.513,21.513,4.06%,104943480,,,-5015.929748060348,241.0,-5015.929748060348,241.0,-5015.929748060348,241.0
2018-07-18,21.667,21.7,21.083,21.59,21.59,0.36%,84363165,,,-5018.318286035615,241.0,-5018.318286035615,241.0,-5018.318286035615,241.0
2018-07-19,21.089,21.569,20.934,21.349,21.349,-1.12%,88730175,,,-5020.7079614099175,241.0,-5020.7079614099175,241.0,-5020.7079614099175,241.0
2018-07-20,21.415,21.549,20.781,20.905,20.905,-2.08%,77498205,,,-5023.098774724875,241.0,-5023.098774724875,241.0,-5023.098774724875,241.0
2018-07-23,20.123,20.367,19.524,20.213,20.213,-3.31%,164894205,,,-5025.490726522363,241.0,-5025.490726522363,241.0,-5025.490726522363,241.0
2018-07-24,20.295,20.515,19.503,19.829,19.829,-1.90%,143861760,,,-5027.8838173445165,241.0,-5027.8838173445165,241.0,-5027.8838173445165,241.0
2018-07-25,19.783,20.641,19.633,20.583,20.583,3.80%,106412700,,,-5030.278047733728,241.0,-5030.278047733728,241.0,-5030.278047733728,241.0
2018-07-26,20.323,20.713,20.243,20.443,20.443,-0.68%,69457830,,,-5032.673418232649,241.0,-5032.673418232649,241.0,-5032.673418232649,241.0
2018-07-27,20.483,20.513,19.689,19.812,19.812,-3.09%,85549890,,,-5035.069929384188,241.0,-5035.069929384188,241.0,-5035.069929384188,241.0
2018-07-30,19.727,19.74,19.075,19.345,19.345,-2.36%,102211080,,,-5037.467581731514,241.0,-5037.467581731514,241.0,-5037.467581731514,241.0
2018-07-31,19.483,19.888,19.271,19.876,19.876,2.74%,76153740,,,-5039.866375818053,241.0,-5039.866375818053,241.0,-5039.866375818053,241.0
2018-08-01,19.866,20.2,19.533,20.056,20.056,0.91%,151941450,,,-5042.26631218749,241.0,-5042.26631218749,241.0,-5042.26631218749,241.0
2018-08-02,21.896,23.333,21.544,23.303,23.303,16.19%,348224430,,,-5044.66739138377,241.0,-5044.66739138377,241.0,-5044.66739138377,241.0
2018-08-03,23.187,23.667,22.835,23.211,23.211,-0.39%,204847290,,,-5047.069613951096,241.0,-5047.069613951096,241.0,-5047.069613951096,241.0
2018-08-06,23.031,23.665,22.788,22.799,22.799,-1.78%,128464965,,,-5049.4729804339295,241.0,-5049.4729804339295,241.0,-5049.4729804339295,241.0
2018-08-07,22.923,25.831,22.61,25.305,25.305,10.99%,463136520,,,-5051.877491376993,241.0,-5051.877491376993,241.0,-5051.877491376993,241.0
2018-08-08,24.606,25.509,24.475,24.689,24.689,-2.43%,368567445,,,-5054.283147325268,241.0,-5054.283147325268,241.0,-5054.283147325268,241.0
2018-08-09,24.37,24.467,23.049,23.497,23.497,-4.83%,257757165,,,-5056.689948823994,241.0,-5056.689948823994,241.0,-5056.689948823994,241.0
2018-08-10,23.6,24.0,23.067,23.699,23.699,0.86%,173280660,,,-5059.0978964186725,241.0,-5059.0978964186725,241.0,-5059.0978964186725,241.0
2018-08-13,24.075,24.213,23.268,23.761,23.761,0.26%,156958215,,,-5061.5069906550625,241.0,-5061.5069906550625,241.0,-5061.5069906550625,241.0
2018-08-14,23.897,23.947,23.14,23.176,23.176,-2.46%,104796405,,,-5063.917232079184,241.0,-5063.917232079184,241.0,-5063.917232079184,241.0
2018-08-15,22.794,22.966,22.143,22.579,22.579,-2.58%,136518870,,,-5066.328621237317,241.0,-5088.907621237317,242.0,-5066.328621237317,241.0
2018-08-16,22.661,22.819,22.255,22.363,22.363,-0.96%,90960495,,,-5068.741158676001,241.0,-5091.330910580763,242.0,-5068.741158676001,241.0
2018-08-17,21.567,21.785,20.235,20.367,20.367,-8.93%,284379180,,,-5071.154844942037,241.0,-5093.755353871516,242.0,-5071.154844942037,241.0
2018-08-20,19.447,20.567,19.213,20.563,20.563,0.96%,261035025,,,-5073.5696805824855,241.0,-5096.180951659074,242.0,-5073.5696805824855,241.0
2018-08-21,20.707,21.653,20.6,21.46,21.46,4.36%,197583450,,,-5075.985666144667,241.0,-5098.607704493197,242.0,-5075.985666144667,241.0
2018-08-22,21.391,21.592,20.978,21.443,21.443,-0.08%,89189325,,,-5078.402802176165,241.0,-5101.035612923908,242.0,-5078.402802176165,241.0
2018-08-23,21.276,21.821,21.207,21.34,21.34,-0.48%,77209290,,,-5080.821089224821,241.0,-5103.464677501491,242.0,-5080.821089224821,241.0
2018-08-24,21.38,21.59,21.293,21.521,21.521,0.85%,54038460,,,-5083.240527838738,241.0,-5105.894898776492,242.0,-5083.240527838738,241.0
2018-08-27,21.2,21.496,20.587,21.285,21.285,-1.10%,196189320,,,-5085.66111856628,241.0,-5108.326277299719,242.0,-5085.66111856628,241.0
