Date,Open,High,Low,Close,Adj. Close,Change,Volume,52_Week_High,52_Week_Low,Cash_H,Portfolio_H,Cash_M,Portfolio_M,Cash_S,Portfolio_S
2020-07-06,33.1,33.2,31.76,32.52,32.52,6.00%,42347400,,,-4975.56,153.0,-4975.56,153.0,-4975.56,153.0
2020-07-07,32.46,33.56,32.39,32.82,32.82,0.92%,34835100,,,-4977.929314285715,153.0,-4977.929314285715,153.0,-4977.929314285715,153.0
2020-07-08,33.21,33.97,32.68,33.93,33.93,3.38%,24582700,,,-4980.299756816327,153.0,-4980.299756816327,153.0,-4980.299756816327,153.0
2020-07-09,34.24,34.46,32.26,33.15,33.15,-2.30%,25051600,,,-4982.671328129097,153.0,-4982.671328129097,153.0,-4982.671328129097,153.0
2020-07-10,33.14,33.55,32.65,33.14,33.14,-0.03%,13623700,,,-4985.044028761539,153.0,-4985.044028761539,153.0,-4985.044028761539,153.0
2020-07-13,33.21,33.6,31.66,31.72,31.72,-4.28%,19582000,,,-4987.417859251425,153.0,-4987.417859251425,153.0,-4987.417859251425,153.0
2020-07-14,31.35,31.38,30.48,30.93,30.93,-2.49%,21714900,,,-4989.792820136783,153.0,-4989.792820136783,153.0,-4989.792820136783,153.0
2020-07-15,32.1,32.97,31.68,32.81,32.81,6.08%,20971000,,,-4992.168911955896,153.0,-5024.978911955896,154.0,-4992.168911955896,153.0
2020-07-16,32.05,32.59,31.55,32.35,32.35,-1.40%,11086300,,,-4994.546135247304,153.0,-5027.371759056828,154.0,-4994.546135247304,153.0
2020-07-17,32.58,32.82,31.85,32.55,32.55,0.62%,13658700,,,-4996.924490549803,153.0,-5029.765745608759,154.0,-4996.924490549803,153.0
2020-07-20,32.48,33.925,32.35,33.66,33.66,3.41%,16189121,,,-4999.303978402445,153.0,-5032.160872154287,154.0,-4999.303978402445,153.0
2020-07-21,34.16,34.23,32.53,32.55,32.55,-3.30%,16892248,,,-5001.684599344541,153.0,-5034.557139236265,154.0,-5001.684599344541,153.0
2020-07-22,32.44,32.88,32.33,32.66,32.66,0.34%,12128382,,,-5004.066353915658,153.0,-5036.954547397806,154.0,-5004.066353915658,153.0
2020-07-23,32.33,33.02,31.983,32.17,32.17,-1.50%,12749770,,,-5006.449242655617,153.0,-5039.353097182281,154.0,-5006.449242655617,153.0
2020-07-24,31.74,31.8,30.47,31.18,31.18,-3.08%,16896059,,,-5008.833266104501,153.0,-5041.75278913332,154.0,-5008.833266104501,153.0
2020-07-27,31.21,31.6,30.75,30.99,30.99,-0.61%,10182302,,,-5011.218424802645,153.0,-5044.153623794812,154.0,-5011.218424802645,153.0
2020-07-28,30.79,31.24,30.35,30.81,30.81,-0.58%,12977145,,,-5013.604719290646,153.0,-5046.555601710905,154.0,-5013.604719290646,153.0
2020-07-29,30.92,31.26,30.77,31.02,31.02,0.68%,8215892,,,-5015.992150109356,153.0,-5048.958723426005,154.0,-5015.992150109356,153.0
2020-07-30,30.65,30.68,29.97,30.24,30.24,-2.51%,13062912,,,-5018.380717799884,153.0,-5051.36298948478,154.0,-5018.380717799884,153.0
2020-07-31,30.4,30.42,29.785,30.26,30.26,0.07%,16360999,,,-5020.770422903598,153.0,-5053.768400432154,154.0,-5020.770422903598,153.0
2020-08-03,30.24,31.295,30.06,31.19,31.19,3.07%,17084299,,,-5023.161265962123,153.0,-5056.174956813312,154.0,-5023.161265962123,153.0
2020-08-04,31.17,32.845,31.17,32.68,32.68,4.78%,21958142,,,-5025.553247517343,153.0,-5058.5826591736995,154.0,-5025.553247517343,153.0
2020-08-05,33.1,33.32,32.5,33.2,33.2,1.59%,17279011,,,-5027.946368111399,153.0,-5060.99150805902,154.0,-5027.946368111399,153.0
2020-08-06,33.27,34.795,33.21,34.71,34.71,4.55%,38601493,,,-5030.340628286691,153.0,-5063.401504015238,154.0,-5030.340628286691,153.0
2020-08-07,33.09,33.7,32.45,32.9,32.9,-5.21%,39071193,,,-5032.736028585875,153.0,-5065.812647588578,154.0,-5032.736028585875,153.0
2020-08-10,33.04,33.18,31.51,32.27,32.27,-1.91%,21347585,,,-5035.132569551868,153.0,-5068.224939325525,154.0,-5035.132569551868,153.0
2020-08-11,31.66,32.21,30.65,31.21,31.21,-3.28%,31569923,,,-5037.530251727845,153.0,-5070.638379772823,154.0,-5037.530251727845,153.0
2020-08-12,31.46,32.22,30.69,30.84,30.84,-1.19%,23415151,,,-5039.929075657239,153.0,-5073.052969477477,154.0,-5039.929075657239,153.0
2020-08-13,30.52,31.33,30.32,30.46,30.46,-1.23%,21976775,,,-5042.329041883742,153.0,-5075.468708986752,154.0,-5042.329041883742,153.0
2020-08-14,30.4,30.49,29.815,29.99,29.99,-1.54%,17631632,,,-5044.730150951306,153.0,-5077.885598848175,154.0,-5044.730150951306,153.0
2020-08-17,30.05,30.12,29.14,29.48,29.48,-1.70%,18433160,,,-5047.13240340414,153.0,-5080.303639609531,154.0,-5047.13240340414,153.0
2020-08-18,29.5,30.46,29.41,30.08,30.08,2.04%,29398212,,,-5049.535799786713,153.0,-5082.722831818869,154.0,-5049.535799786713,153.0
2020-08-19,30.15,30.349,29.39,29.42,29.42,-2.19%,14050333,,,-5051.940340643754,153.0,-5085.143176024497,154.0,-5051.940340643754,153.0
2020-08-20,29.13,31.7,28.48,31.41,31.41,6.76%,56663347,,,-5054.346026520251,153.0,-5087.5646727749845,154.0,-5054.346026520251,153.0
2020-08-21,31.39,31.82,30.714,30.83,30.83,-1.85%,20216997,,,-5056.752857961451,153.0,-5089.987322619163,154.0,-5056.752857961451,153.0
2020-08-24,30.97,31.3,30.37,31.04,31.04,0.68%,17406239,,,-5059.160835512861,153.0,-5092.411126106124,154.0,-5059.160835512861,153.0
2020-08-25,31.04,31.19,30.6,31.19,31.19,0.48%,10056762,,,-5061.569959720248,153.0,-5094.836083785222,154.0,-5061.569959720248,153.0
2020-08-26,31.01,32.71,30.95,32.3,32.3,3.56%,20599776,,,-5063.980231129639,153.0,-5097.262196206072,154.0,-5063.980231129639,153.0
2020-08-27,32.4,33.07,32.27,32.8,32.8,1.55%,21306491,,,-5066.39165028732,153.0,-5099.689463918551,154.0,-5066.39165028732,153.0
2020-08-28,33.0,33.94,32.82,33.8,33.8,3.05%,17833021,,,-5068.804217739837,153.0,-5102.117887472798,154.0,-5068.804217739837,153.0
2020-08-31,33.62,33.92,33.14,33.63,33.63,-0.50%,14980621,,,-5071.217934033999,153.0,-5104.547467419214,154.0,-5071.217934033999,153.0
2020-09-01,33.45,34.51,33.145,34.3,34.3,1.99%,16026170,,,-5073.632799716872,153.0,-5106.978204308461,154.0,-5073.632799716872,153.0
2020-09-02,34.21,34.505,33.29,34.37,34.37,0.20%,16552685,,,-5076.048815335785,153.0,-5109.410098691465,154.0,-5076.048815335785,153.0
2020-09-03,34.08,34.74,32.95,33.41,33.41,-2.79%,17288823,,,-5078.465981438326,153.0,-5111.843151119413,154.0,-5078.465981438326,153.0
2020-09-04,33.33,33.65,31.55,33.24,33.24,-0.51%,17480617,,,-5080.884298572344,153.0,-5114.277362143755,154.0,-5080.884298572344,153.0
2020-09-08,32.36,35.1,32.16,34.32,34.32,3.25%,33683493,,,-5083.30376728595,153.0,-5116.712732316205,154.0,-5083.30376728595,153.0
2020-09-09,34.11,35.5,34.11,35.01,35.01,2.01%,22803536,,,-5085.724388127514,153.0,-5119.149262188736,154.0,-5085.724388127514,153.0
2020-09-10,35.2,36.78,35.19,35.98,35.98,2.77%,35468315,,,-5088.14616164567,153.0,-5121.586952313588,154.0,-5088.14616164567,153.0
2020-09-11,36.3,37.145,36.254,36.98,36.98,2.78%,27130921,,,-5090.56908838931,153.0,-5124.025803243261,154.0,-5090.56908838931,153.0
2020-09-14,37.1,38.0,37.08,37.95,37.95,2.62%,28016041,,,-5092.993168907591,153.0,-5126.46581553052,154.0,-5092.993168907591,153.0
2020-09-15,37.95,38.48,37.27,37.47,37.47,-1.26%,23532584,,,-5095.418403749928,153.0,-5166.376989728392,155.0,-5095.418403749928,153.0
2020-09-16,37.39,38.52,37.39,37.66,37.66,0.51%,21786591,,,-5097.844793466,153.0,-5168.83716924731,155.0,-5097.844793466,153.0
2020-09-17,36.68,37.445,36.14,37.06,37.06,-1.59%,23534828,,,-5100.272338605746,153.0,-5171.298520280285,155.0,-5100.272338605746,153.0
2020-09-18,37.15,37.565,36.39,37.12,37.12,0.16%,68428610,,,-5102.701039719368,153.0,-5173.7610433851805,155.0,-5102.701039719368,153.0
2020-09-21,35.86,36.58,35.12,36.49,36.49,-1.70%,19100814,,,-5105.13089735733,153.0,-5176.224739120126,155.0,-5105.13089735733,153.0
2020-09-22,36.53,36.55,34.1,34.4,34.4,-5.73%,28242763,,,-5107.561912070357,153.0,-5178.689608043517,155.0,-5107.561912070357,153.0
2020-09-23,34.45,34.805,33.4,33.55,33.55,-2.47%,15796892,,,-5109.994084409438,153.0,-5181.155650714014,155.0,-5109.994084409438,153.0
2020-09-24,33.66,34.0,32.89,33.35,33.35,-0.60%,16404055,,,-5112.4274149258235,153.0,-5183.622867690545,155.0,-5112.4274149258235,153.0
2020-09-25,33.2,34.5,33.2,34.46,34.46,3.33%,10736298,,,-5114.861904171026,153.0,-5186.0912595323025,155.0,-5114.861904171026,153.0
2020-09-28,35.8,36.625,35.26,35.56,35.56,3.19%,22878432,,,-5117.297552696822,153.0,-5188.560826798746,155.0,-5117.297552696822,153.0
2020-09-29,35.56,35.65,34.595,35.43,35.43,-0.37%,16503443,,,-5119.734361055249,153.0,-5191.031570049603,155.0,-5119.734361055249,153.0
2020-09-30,35.28,36.5,35.28,36.48,36.48,2.96%,21386305,,,-5122.172329798608,153.0,-5193.503489844865,155.0,-5122.172329798608,153.0
2020-10-01,36.86,37.828,36.58,37.14,37.14,1.81%,19187502,,,-5124.611459479464,153.0,-5195.976586744791,155.0,-5124.611459479464,153.0
2020-10-02,36.0,37.99,35.94,37.72,37.72,1.56%,20123445,,,-5127.051750650645,153.0,-5198.450861309908,155.0,-5127.051750650645,153.0
2020-10-05,37.7,38.0,36.88,37.14,37.14,-1.54%,13093069,,,-5129.4932038652405,153.0,-5200.926314101008,155.0,-5129.4932038652405,153.0
2020-10-06,37.17,37.37,36.04,36.26,36.26,-2.37%,13074679,,,-5131.935819676605,153.0,-5203.402945679151,155.0,-5131.935819676605,153.0
2020-10-07,36.59,37.11,36.365,36.78,36.78,1.43%,13782136,,,-5134.379598638356,153.0,-5205.880756605665,155.0,-5134.379598638356,153.0
2020-10-08,37.0,37.83,36.96,37.34,37.34,1.52%,12212370,,,-5136.824541304374,153.0,-5208.359747442144,155.0,-5136.824541304374,153.0
2020-10-09,37.91,38.35,37.19,37.27,37.27,-0.19%,13172028,,,-5139.270648228805,153.0,-5210.83991875045,155.0,-5139.270648228805,153.0
2020-10-12,37.56,37.56,36.175,36.26,36.26,-2.71%,16569415,,,-5141.717919966057,153.0,-5213.321271092712,155.0,-5141.717919966057,153.0
2020-10-13,36.22,36.23,35.02,35.56,35.56,-1.93%,15463089,,,-5144.166357070802,153.0,-5215.803805031327,155.0,-5144.166357070802,153.0
2020-10-14,35.69,36.09,35.075,35.11,35.11,-1.27%,15402925,,,-5146.615960097979,153.0,-5218.287521128961,155.0,-5146.615960097979,153.0
2020-10-15,34.68,34.81,34.02,34.26,34.26,-2.42%,15449850,,,-5149.066729602788,153.0,-5255.032419948547,156.0,-5149.066729602788,153.0
2020-10-16,34.78,34.8,33.61,33.72,33.72,-1.58%,14904333,,,-5151.518666140694,153.0,-5257.534816338998,156.0,-5151.518666140694,153.0
2020-10-19,34.16,34.59,34.0,34.22,34.22,1.48%,19278584,,,-5153.971770267428,153.0,-5260.038404346778,156.0,-5153.971770267428,153.0
2020-10-20,34.53,36.76,34.53,36.31,36.31,6.11%,29820702,,,-5156.426042538984,153.0,-5262.543184539324,156.0,-5156.426042538984,153.0
2020-10-21,36.25,36.25,34.875,35.2,35.2,-3.06%,19058727,,,-5158.881483511622,153.0,-5265.049157484343,156.0,-5158.881483511622,153.0
