name,final_closing_price,initial_invest,portfolio_value_hold,portfolio_value_monthly,portfolio_value_strategy,cash_hold,cash_monthly,cash_strategy,return_hold,return_monthly,return_strategy,max_invest
AAPL-history,225.0,4953.539,11925.0,20250.0,17887.5,-8362.748303046501,-16012.93742113349,-12605.118463828425,71.91326639304746,85.53606984554901,106.63853734010323,-12605.118463828425
NVDA-history,141.98,4998.212,72125.84,77379.09999999999,119278.10789999999,-8438.166918897092,-10245.579039171347,5834.372168594165,1274.209118802942,1343.1507299175912,2503.144725925874,-25068.56376565712
INTC-history,24.35,4941.82,2021.0500000000002,2922.0,26649.71135244141,-8342.963852502446,-10449.011355464134,-45421.51143046259,-127.92683368682887,-152.31253577556717,-379.85600604678405,-64564.64365676073
META-history,554.08,4805.6,11081.6,31582.56,21214.862644499997,-8112.992195099329,-22750.243803283756,6616.985208840065,61.7739263546835,183.79216324114043,579.1544833806405,-45194.10146191621
UBER-history,73.25,4975.56,11207.25,13917.5,22528.1803025918,-8399.924972167555,-10670.031198819335,33058.000376881086,56.42229272348127,65.2684080019267,1117.1844109903786,-77866.66785408508
NFLX-history,823.96,4938.1,8239.6,38726.12,13626.238500000001,-8336.68361050026,-31520.160703868332,-11719.783360517196,-1.9660114315275097,145.92574666636298,38.6070581697982,-16980.711140493433
SPOT-history,458.32,4944.94,8708.08,25665.92,16670.9429231625,-8348.231152246224,-18967.144831889214,-2129.220258669131,7.277112518125111,135.46726892764693,294.0727827737722,-29743.752186576134
MSFT-history,415.0,4846.099999999999,9545.0,24900.0,15785.043749999999,-8181.36579754265,-22702.5554149301,-9412.202844412825,28.138796196061776,45.34459844142509,131.5045274671834,-20588.3301310967
NKE-history,76.66,4997.5,3833.0,6669.42,65490.3984375,-8436.96489408378,-14287.492408385971,-93008.39791758302,-92.12536056195657,-152.43766700122003,-550.635307255288,-93008.39791758302
AMD-history,134.9,4966.2,12545.7,17537.0,20747.451375000004,-8384.123072936236,-13626.51101534791,-7448.281517048318,83.7980131098982,78.7420761276648,267.793682452412,-25025.160976748128
DUOL-history,307.32,4974.28,11370.84,19975.8,11370.84,-7388.322656586101,-12444.150177945274,-7388.322656586101,80.06218675695575,151.41185904401695,80.06218675695575,-7388.322656586101
SNAP-history,10.6,4988.46,2257.7999999999997,2650.0,18002.427187499998,-8421.703230723606,-9854.099159980204,-33719.69798412071,-123.56324859222299,-144.4152936974578,-315.0726035012952,-40292.71716052906
GOOG-history,173.89,4935.8099999999995,11476.74,17910.67,20925.0737994375,-8332.817547547282,-14270.070203754567,-6964.9777841977375,63.69618061580001,73.75891284805192,282.8329294531144,-54553.10457101365
MHVYF-history,15.3,4998.6720000000005,31946.4,32512.5,31946.4,-8438.943507961863,-8667.896915964146,-8438.943507961863,470.274034624359,477.0187578628054,470.274034624359,-8438.943507961863
LLY-history,746.2,4839.8099999999995,21639.800000000003,49249.200000000004,21639.800000000003,-8170.746786200193,-26860.637211966412,-8170.746786200193,278.29714831366954,462.591770917321,278.29714831366954,-8170.746786200193
TSLA-history,320.72,4937.705999999999,17318.88,29185.520000000004,40915.85400000001,-8336.018445083895,-19447.517060802536,-20747.378153393922,181.92378312755167,197.21714778477028,408.45841867875663,-35700.5303900733
DIS-history,115.08,4920.490000000001,4948.44,9206.4,299619.5851933594,-8306.953755215658,-14534.654761251364,-250949.0703652641,-68.25567687802754,-108.28707631254943,989.1395943919262,-359707.6097175264
RDDT-history,124.78,4968.0,13476.24,14224.92,13476.24,-5373.986895318551,-5814.500465129291,-5373.986895318551,163.08883060952996,169.29185859240556,163.08883060952996,-5373.986895318551
SBUX-history,98.42,4979.04,6495.72,10137.26,51793.2174375,-8405.800037266403,-13133.164399349052,-55541.35228646577,-38.362415993171425,-60.170321976707406,-75.2782634597386,-55541.35228646577
ABNB-history,132.5,4873.75,4637.5,9142.5,7304.0625,-7800.812299219948,-14030.627597615188,-10635.613576923353,-64.90509975316641,-100.2950007204963,-68.3570367155343,-12516.96808933273
