name,final_closing_price,initial_invest,portfolio_value_hold,portfolio_value_monthly,portfolio_value_strategy,cash_hold,cash_monthly,cash_strategy,return_hold,return_monthly,return_strategy,max_invest
AAPL-history,184.25,4981.986,12344.75,18425.0,16665.412500000002,-8042.678729462507,-13875.625694829036,-8536.793225190342,86.35253632863466,91.31648112160421,163.16021913368806,-18838.206415391618
NVDA-history,47.569,4998.994,40290.943,41860.72,48953.495745,-8070.135627139605,-8932.244840997824,25978.21786937573,644.5458300782196,658.7020340292903,1498.9358581821812,-37741.989877018466
META-history,344.47,4799.41,7922.81,19290.32,12995.389102500003,-7747.9368109363895,-18350.92629097895,-1138.4512025735653,3.6436393028228653,19.57310813247981,247.04990613276294,-36375.25788001215
UBER-history,58.25,4987.83,9261.75,11184.0,34181.067234375,-8052.11300215919,-9729.322897031534,4542.268320017144,24.25176876198287,29.16452852179136,776.3563624741049,-81683.93547309692
SPOT-history,187.94,4880.0,6014.08,12216.1,8878.135247999997,-7878.037433219816,-16026.437631598892,3049.3443899109334,-38.19584904138968,-78.08068917210844,244.4155663506338,-46097.30640834816
MSFT-history,370.6,4917.22,11488.6,23718.4,13958.649000000001,-7938.12361216745,-18933.519164639027,-4874.243745713217,72.20495295782068,97.3086588633613,184.74677265379182,-26105.902492565416
NKE-history,104.04,4994.08,5097.96,8531.28,38712.63375,-8062.20270174068,-13246.18052480002,-48696.06927320814,-59.355130509336654,-94.40979168936059,-199.90539845593455,-48696.06927320814
AMD-history,135.32,4957.2,13802.64,18268.2,18633.564,-8002.66540245025,-11816.568260225456,-7992.049796097186,117.001020688085,130.1466904658788,214.66784079526371,-17735.688369395946
DUOL-history,307.32,4974.28,11370.84,19975.8,11370.84,-7388.322656586101,-12444.150177945274,-7388.322656586101,80.06218675695575,151.41185904401695,80.06218675695575,-7388.322656586101
SNAP-history,15.78,4991.5,4702.44,5223.179999999999,32138.238374999997,-8058.0376737534125,-9365.29932888795,-35383.28420197351,-67.22623807980392,-82.98345845713614,-65.01143598063736,-54336.227781890564
GOOG-history,140.36,4966.409,10246.28,14878.160000000002,16806.46077,-8017.5319694015825,-12558.223553296772,-4942.9941574245295,44.876449575506534,46.71255320903354,238.874136475177,-60623.07578303316
LLY-history,617.7,4875.490000000001,22854.9,43239.0,22854.9,-7870.756706001806,-19403.4255209315,-7870.756706001806,307.33615070481517,488.88572182628815,307.33615070481517,-7870.756706001806
TSLA-history,238.45,4991.246,40298.049999999996,48166.899999999994,90670.6125,-8057.627628362421,-16774.25571278992,-58379.053551421464,645.9393580608445,628.9540585098405,646.9638833385198,-58379.053551421464
DIS-history,91.65,4981.0,3116.1000000000004,6140.55,179690.02822265626,-8041.086978456548,-13600.061404697955,-191599.10276788243,-98.87546634122762,-149.75931348520288,-239.09003303003766,-191599.10276788243
RDDT-history,124.78,4968.0,13476.24,14224.92,13476.24,-5373.986895318551,-5814.500465129291,-5373.986895318551,163.08883060952996,169.29185859240556,163.08883060952996,-5373.986895318551
